id;role;created_at;updated_at
1;MEMBER;2026-01-23T00:20:37;2026-01-23T02:00:12
2;MEMBER;2026-01-22T21:43:36;2026-01-22T20:44:12
3;ADMIN;2026-01-23T14:02:37;2026-01-22T20:34:05
4;ADMIN;2026-01-23T04:54:48;2026-01-23T08:04:33
5;ADMIN;2026-01-23T00:19:10;2026-01-23T07:29:37
6;ADMIN;2026-01-22T20:49:14;2026-01-23T12:36:17
7;OWNER;2026-01-23T01:16:19;2026-01-22T16:26:38
8;OWNER;2026-01-23T05:48:27;2026-01-22T20:00:25
9;OWNER;2026-01-23T11:43:14;2026-01-22T18:35:36
10;MEMBER;2026-01-22T18:44:33;2026-01-22T23:25:08
